10/1/2015 10:28:58 AM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/DashBoard/DashBoard.aspx|trangvt|Truy cập trang:Tổng quan
10/1/2015 2:42:50 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/DashBoard/QuanlyAnh.aspx|huyenhs|Truy cập trang:Quản lý ảnh
10/1/2015 2:44:57 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/DashBoard/QuanlyAnh.aspx|huyenhs|Truy cập trang:Quản lý ảnh
10/1/2015 2:45:45 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/DashBoard/QuanlyAnh.aspx|huyenhs|Truy cập trang:Quản lý ảnh
10/1/2015 2:46:11 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/DashBoard/QuanlyAnh.aspx|huyenhs|Truy cập trang:Quản lý ảnh
10/1/2015 2:49:12 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/DashBoard/QuanlyAnh.aspx|huyenhs|Truy cập trang:Quản lý ảnh
10/1/2015 2:58:18 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_26_QuangCao/AddTTrafficSafety_26_QuangCao.aspx|huyenhs|Truy cập trang:Thêm quảng cáo
10/1/2015 4:07:36 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_26_QuangCao/AddTTrafficSafety_26_QuangCao.aspx|huyenhs|Truy cập trang:Thêm quảng cáo
10/1/2015 4:11:06 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_26_QuangCao/AddTTrafficSafety_26_QuangCao.aspx|huyenhs|Truy cập trang:Thêm quảng cáo
10/1/2015 4:12:35 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_26_QuangCao/AddTTrafficSafety_26_QuangCao.aspx|huyenhs|Truy cập trang:Thêm quảng cáo
10/1/2015 4:12:45 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_26_QuangCao/ShowTTrafficSafety_26_QuangCaoTable.aspx|huyenhs|Truy cập trang:Xem danh sách quảng cáo
10/1/2015 4:12:56 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_26_QuangCao/AddTTrafficSafety_26_QuangCao.aspx|huyenhs|Truy cập trang:Thêm quảng cáo
10/1/2015 4:14:43 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/DashBoard/QuanlyAnh.aspx|huyenhs|Truy cập trang:Quản lý ảnh
10/1/2015 4:17:47 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/DashBoard/QuanlyAnh.aspx|huyenhs|Truy cập trang:Quản lý ảnh
