9/23/2015 8:42:21 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/AddTTrafficSafety_26_QuangCao.aspx|huyenhs|Truy cập trang:Thêm quảng cáo
9/23/2015 10:05:34 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/AddTTrafficSafety_26_QuangCao.aspx|huyenhs|Truy cập trang:Thêm quảng cáo
9/23/2015 10:06:48 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/DashBoard/QuanlyAnh.aspx|huyenhs|Truy cập trang:Quản lý ảnh
9/23/2015 10:07:00 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/DashBoard/QuanlyAnh.aspx|huyenhs|Truy cập trang:Quản lý ảnh
9/23/2015 10:07:45 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/DashBoard/QuanlyAnh.aspx|huyenhs|Truy cập trang:Quản lý ảnh
9/23/2015 10:08:02 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/ShowTTrafficSafety_26_QuangCaoTable.aspx|huyenhs|Truy cập trang:Xem danh sách quảng cáo
9/23/2015 10:08:04 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/AddTTrafficSafety_26_QuangCao.aspx|huyenhs|Truy cập trang:Thêm quảng cáo
9/23/2015 10:09:03 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/ShowTTrafficSafety_26_QuangCaoTable.aspx|huyenhs|Truy cập trang:Xem danh sách quảng cáo
9/23/2015 10:09:04 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/AddTTrafficSafety_26_QuangCao.aspx|huyenhs|Truy cập trang:Thêm quảng cáo
9/23/2015 10:10:10 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/ShowTTrafficSafety_26_QuangCaoTable.aspx|huyenhs|Truy cập trang:Xem danh sách quảng cáo
9/23/2015 10:10:40 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/AddTTrafficSafety_26_QuangCao.aspx|huyenhs|Truy cập trang:Thêm quảng cáo
9/23/2015 10:13:39 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/AddTTrafficSafety_26_QuangCao.aspx|huyenhs|Truy cập trang:Thêm quảng cáo
9/23/2015 10:15:12 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/AddTTrafficSafety_26_QuangCao.aspx|huyenhs|Truy cập trang:Thêm quảng cáo
9/23/2015 10:15:53 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/ShowTTrafficSafety_26_QuangCaoTable.aspx|huyenhs|Truy cập trang:Xem danh sách quảng cáo
9/23/2015 10:39:07 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/AddTTrafficSafety_26_QuangCao.aspx|huyenhs|Truy cập trang:Thêm quảng cáo
9/23/2015 10:39:21 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/ShowTTrafficSafety_26_QuangCaoTable.aspx|huyenhs|Truy cập trang:Xem danh sách quảng cáo
9/23/2015 10:45:17 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/EditTTrafficSafety_26_QuangCao.aspx?TTrafficSafety_26_QuangCao=<key><cv><c>Id</c><v>3</v></cv></key>|huyenhs|Truy cập trang:Sửa quảng cáo
9/23/2015 10:45:22 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/ShowTTrafficSafety_26_QuangCaoTable.aspx|huyenhs|Truy cập trang:Xem danh sách quảng cáo
9/23/2015 10:45:25 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/AddTTrafficSafety_26_QuangCao.aspx?TTrafficSafety_26_QuangCao=<key><cv><c>Id</c><v>3</v></cv></key>|huyenhs|Truy cập trang:Thêm quảng cáo
9/23/2015 10:45:27 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/ShowTTrafficSafety_26_QuangCaoTable.aspx|huyenhs|Truy cập trang:Xem danh sách quảng cáo
9/23/2015 10:45:29 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/EditTTrafficSafety_26_QuangCao.aspx?TTrafficSafety_26_QuangCao=<key><cv><c>Id</c><v>3</v></cv></key>|huyenhs|Truy cập trang:Sửa quảng cáo
9/23/2015 10:56:13 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/EditTTrafficSafety_26_QuangCao.aspx?TTrafficSafety_26_QuangCao=<key><cv><c>Id</c><v>3</v></cv></key>|huyenhs|Truy cập trang:Sửa quảng cáo
9/23/2015 10:56:27 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/DashBoard/DashBoard.aspx|huyenhs|Truy cập trang:Tổng quan
9/23/2015 10:56:59 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_08_TinTuc/ShowTTrafficSafety_08_TinTucTable.aspx|huyenhs|Truy cập trang:Xem danh sách  Tin tức
9/23/2015 10:57:02 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_08_TinTuc/AddTTrafficSafety_08_TinTuc.aspx|huyenhs|Truy cập trang:Thêm Tin tức
9/23/2015 10:57:10 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/DashBoard/QuanlyAnh.aspx|huyenhs|Truy cập trang:Quản lý ảnh
9/23/2015 10:58:05 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/ShowTTrafficSafety_26_QuangCaoTable.aspx|huyenhs|Truy cập trang:Xem danh sách quảng cáo
9/23/2015 10:58:08 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/ShowTTrafficSafety_26_QuangCao.aspx?TTrafficSafety_26_QuangCao=<key><cv><c>Id</c><v>3</v></cv></key>|huyenhs|Truy cập trang:Xem chi tiết quảng cáo
9/23/2015 10:58:21 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa02_Role/ShowTSa02_RoleTable.aspx|huyenhs|Truy cập trang:Xem danh sách quyền
9/23/2015 10:58:54 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/ShowTTrafficSafety_26_QuangCaoTable.aspx|huyenhs|Truy cập trang:Xem danh sách quảng cáo
9/23/2015 10:59:02 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/DashBoard/QuanlyAnh.aspx|huyenhs|Truy cập trang:Quản lý ảnh
9/23/2015 10:59:45 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/DashBoard/QuanlyAnh.aspx|huyenhs|Truy cập trang:Quản lý ảnh
9/23/2015 11:00:12 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/DashBoard/DashBoard.aspx|huyenhs|Truy cập trang:Tổng quan
9/23/2015 12:39:47 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_09_Videos/ShowTTrafficSafety_09_VideosTable.aspx|huyenhs|Truy cập trang:Xem danh sách  Videos
9/23/2015 12:40:53 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_09_Videos/ShowTTrafficSafety_09_VideosTable.aspx|huyenhs|Truy cập trang:Xem danh sách  Videos
9/23/2015 12:42:09 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_09_Videos/AddTTrafficSafety_09_Videos.aspx|huyenhs|Truy cập trang:Thêm Videos
9/23/2015 12:42:30 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_09_Videos/AddTTrafficSafety_09_Videos.aspx|huyenhs|Truy cập trang:Thêm Videos
9/23/2015 12:43:38 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_09_Videos/ShowTTrafficSafety_09_VideosTable.aspx|huyenhs|Truy cập trang:Xem danh sách  Videos
9/23/2015 12:43:47 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_09_Videos/AddTTrafficSafety_09_Videos.aspx|huyenhs|Truy cập trang:Thêm Videos
9/23/2015 12:45:01 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_09_Videos/ShowTTrafficSafety_09_VideosTable.aspx|huyenhs|Truy cập trang:Xem danh sách  Videos
9/23/2015 12:45:03 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_09_Videos/AddTTrafficSafety_09_Videos.aspx|huyenhs|Truy cập trang:Thêm Videos
9/23/2015 12:46:04 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_09_Videos/ShowTTrafficSafety_09_VideosTable.aspx|huyenhs|Truy cập trang:Xem danh sách  Videos
9/23/2015 2:40:16 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/DashBoard/DashBoard.aspx|huyenhs|Truy cập trang:Tổng quan
9/23/2015 2:41:50 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/DashBoard/DashBoard.aspx|huyenhs|Truy cập trang:Tổng quan
9/23/2015 2:42:23 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_18_ThamDoYKien/ShowTTrafficSafety_18_ThamDoYKienTable.aspx|huyenhs|Truy cập trang:Xem danh sách  thăm dò ý kiến
9/23/2015 5:54:57 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_18_ThamDoYKien/ShowTTrafficSafety_18_ThamDoYKienTable.aspx|huyenhs|Truy cập trang:Xem danh sách  thăm dò ý kiến
9/23/2015 6:58:33 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_18_ThamDoYKien/ShowTTrafficSafety_18_ThamDoYKienTable.aspx|huyenhs|Truy cập trang:Xem danh sách  thăm dò ý kiến
9/23/2015 6:58:35 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_18_ThamDoYKien/ShowTTrafficSafety_18_ThamDoYKien.aspx?TTrafficSafety_18_ThamDoYKien=<key><cv><c>id</c><v>1</v></cv></key>|huyenhs|Truy cập trang:Xem chi tiết  thăm dò ý kiến
9/23/2015 7:14:18 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_21_QuanLyTrangChu/ShowTTrafficSafety_21_QuanLyTrangChuTable.aspx|huyenhs|Truy cập trang:Xem danh sách module CT
9/23/2015 7:15:16 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_21_QuanLyTrangChu/AddTTrafficSafety_21_QuanLyTrangChu.aspx|huyenhs|Truy cập trang:Thêm module CT
9/23/2015 7:15:24 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_21_QuanLyTrangChu/ShowTTrafficSafety_21_QuanLyTrangChuTable.aspx|huyenhs|Truy cập trang:Xem danh sách module CT
